fid,koda_obm,nv_status,ime_obm,nv_kratka_oznaka,nv_zvrsti,nv_pomen,nv_rezim_vstop,nv_koord_e,nv_koord_n,geometry
ZOS_NV_PNT_JAME.20470,54678,,Snežno brezno južno od planine Brda,Brezno s stalnim ledom,geomorfp,državni,3,417417,138433,POINT (417417 138433)
ZOS_NV_PNT_JAME.20478,54686,,Zvončica na Vršičku,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,488631,71363,POINT (488631 71363)
ZOS_NV_PNT_JAME.20487,54695,,Snežni kevderc ob sedežnici na Zvoh,Jama s snegom,geomorfp,državni,3,463648,129242,POINT (463648 129242)
ZOS_NV_PNT_JAME.9300,43508,,Brezno pri Malem Globoščaku,Poševno ali stopnjasto brezno,geomorfp,državni,3,444330,73452,POINT (444330 73452)
ZOS_NV_PNT_JAME.14744,48952,,Mamula,"Spodmol, kevdrc",geomorfp,državni,3,505492,103431,POINT (505492 103431)
ZOS_NV_PNT_JAME.10737,44945,,Jama v Zavrhu,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,427028,42761,POINT (427027.5819 42761.2558999993)
ZOS_NV_PNT_JAME.12086,46294,,Gnezdivka,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,442979,114307,POINT (442979.1101 114306.961999999)
ZOS_NV_PNT_JAME.12200,46408,,3-11,Brezno,geomorfp,državni,3,473510,135217,POINT (473510.0065 135216.584000001)
ZOS_NV_PNT_JAME.20198,54406,,Jama Momo,Vodoravna jama,geomorfp,državni,3,497478,116906,POINT (497478 116906)
ZOS_NV_PNT_JAME.20398,54606,,Brezno MOG-M34 (Možnica),Brezno,geomorfp,državni,3,387150,139391,POINT (387150 139391)
ZOS_NV_PNT_JAME.6749,40957,,Zavinka jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,429598,63746,POINT (429597.8621 63746.3545999993)
ZOS_NV_PNT_JAME.16119,50327,,Grizli Adams 6,Brezno,geomorfp,državni,3,504082,52086,POINT (504082.217 52086.4759)
ZOS_NV_PNT_JAME.19174,53382,,Božji kozarček,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,495513,140570,POINT (495513 140570)
ZOS_NV_PNT_JAME.9507,43715,,Brezno nad Otokom,Brezno,geomorfp,državni,3,449908,65286,POINT (449908.2959 65286.0949000008)
ZOS_NV_PNT_JAME.9538,43746,,Kriški podi 13,Poševno ali stopnjasto brezno,geomorfp,državni,3,407619,141788,POINT (407618.871 141788.204500001)
ZOS_NV_PNT_JAME.9563,43771,,Kriški podi 28,"Spodmol, kevdrc",geomorfp,državni,3,407309,141658,POINT (407308.8615 141658.209899999)
ZOS_NV_PNT_JAME.9593,43801,,Kriški podi 49,Brezno s snegom,geomorfp,državni,3,407599,141858,POINT (407598.8716 141858.205700001)
ZOS_NV_PNT_JAME.9625,43833,,Kostnica,Brezno,geomorfp,državni,3,447638,76126,POINT (447638.4193 76126.2884999998)
ZOS_NV_PNT_JAME.8967,43175,,Brezence pri Planinski koliševki,Brezno,geomorfp,državni,3,440337,75115,POINT (440337 75115)
ZOS_NV_PNT_JAME.8991,43199,,Jama pri Trnovški jami,Jama občasni ponor,geomorfp,državni,3,440723,81127,POINT (440723.4277 81126.5518999994)
ZOS_NV_PNT_JAME.9023,43231,,Tavčarjeva jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,414953,61842,POINT (414953 61842)
ZOS_NV_PNT_JAME.9088,43296,,Brezno pri Radeckem,Brezno,geomorfp,državni,3,431493,85948,POINT (431493 85948)
ZOS_NV_PNT_JAME.9121,43329,,Huda luknja,Poševno ali stopnjasto brezno,geomorfp,državni,3,494278,58536,POINT (494278.2357 58535.6805000007)
ZOS_NV_PNT_JAME.9133,43341,,Džud,Jama občasni ponor ob stalnem toku,geomorfp,državni,3,515453,40188,POINT (515453 40188)
ZOS_NV_PNT_JAME.9158,43366,,Prepad v Konjskem vrhu,Brezno stalni ponor,geomorfp,državni,3,483690,140286,POINT (483690.228 140286.456499999)
ZOS_NV_PNT_JAME.9191,43399,,Pečina v Bezovčini,"Spodmol, kevdrc",geomorfp,državni,3,412133,60637,POINT (412132.618 60636.5825999994)
ZOS_NV_PNT_JAME.16179,50387,,Brezno v gozdnem preku,Brezno,geomorfp,državni,3,411223,76429,POINT (411222.8153 76428.8398000002)
ZOS_NV_PNT_JAME.16207,50415,,Brezno severno od Golca 2,Brezno,geomorfp,državni,3,427515,43303,POINT (427514.5964 43303.2540000007)
ZOS_NV_PNT_JAME.16241,50449,,Jama v Pavlovem vrtu,Brezno,geomorfp,državni,3,427253,46840,POINT (427252.642 46840.2716000006)
ZOS_NV_PNT_JAME.19978,54186,,Ledenica pod Okrogležem,Brezno,geomorfp,državni,3,418247,139128,POINT (418247 139128)
ZOS_NV_PNT_JAME.20004,54212,,Brezence pri Kleču 2,Brezno,geomorfp,državni,3,491855,62459,POINT (491855 62459)
ZOS_NV_PNT_JAME.20032,54240,,Jama na skalni grmadi,Brezno,geomorfp,državni,3,500295,64513,POINT (500295 64513)
ZOS_NV_PNT_JAME.17414,51622,,Michlerjev izvir,Vodoravna jama,geomorfp,državni,3,448985,80417,POINT (448984.4984 80417.3949999996)
ZOS_NV_PNT_JAME.17438,51646,,Snežna jama na Menini,Jama s stalnim ledom,geomorfp,državni,3,485219,124182,POINT (485218.9129 124182.1647)
ZOS_NV_PNT_JAME.17472,51680,,Dihalnik nad Bizjakovo jamo,Vodoravna jama,geomorfp,državni,3,533859,77907,POINT (533859 77907)
ZOS_NV_PNT_JAME.18655,52863,,Opajsko brezno,Brezno,geomorfp,državni,3,390590,80003,POINT (390590 80003)
ZOS_NV_PNT_JAME.18713,52921,,Škraplja ob Romeu,Brezno,geomorfp,državni,3,415556,136463,POINT (415556 136463)
ZOS_NV_PNT_JAME.18736,52944,,BRT 2 (Britmanca),Poševno ali stopnjasto brezno,geomorfp,državni,3,437272,124174,POINT (437272 124174)
ZOS_NV_PNT_JAME.18764,52972,,Kotel pri Kraljih,Brezno,geomorfp,državni,3,503353,43297,POINT (503353 43297)
ZOS_NV_PNT_JAME.6324,40532,,Jama v skalah,Jama občasni izvir,geomorfp,državni,3,454959,106527,POINT (454959.1657 106526.6647)
ZOS_NV_PNT_JAME.6444,40652,,Brezno pri Laški kukavi,Brezno,geomorfp,državni,3,444078,82367,POINT (444078.4884 82366.5362)
ZOS_NV_PNT_JAME.19592,53800,,Kevderc pri Pristavi,Brezno,geomorfp,državni,3,514146,65103,POINT (514146 65103)
ZOS_NV_PNT_JAME.17114,51322,,Zjot pod Židovcem 3,Brezno,geomorfp,državni,3,507893,44949,POINT (507893.2542 44949.2313000001)
ZOS_NV_PNT_JAME.18433,52641,,Mala Kolečajka,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,512254,38834,POINT (512254 38834)
ZOS_NV_PNT_JAME.6204,40412,,Brezno pri Kalcah,Poševno ali stopnjasto brezno,geomorfp,državni,3,437428,84437,POINT (437428.4344 84436.6881000008)
ZOS_NV_PNT_JAME.6744,40952,,Petnjak,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,418553,65162,POINT (418552.7337 65161.5156999994)
ZOS_NV_PNT_JAME.16172,50380,,Šmarnca,Brezno,geomorfp,državni,3,429602,89994,POINT (429602.4536 89993.8826000001)
ZOS_NV_PNT_JAME.15962,50170,,Jama 2 nad mostom,Vodoravna jama,geomorfp,državni,3,497280,74196,POINT (497279.7172 74196.2929999996)
ZOS_NV_PNT_JAME.19770,53978,,Gače 3,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,506221,57494,POINT (506221 57494)
ZOS_NV_PNT_JAME.17239,51447,,Brezno Stara pot,Brezno,geomorfp,državni,3,403860,76349,POINT (403859.6213 76349.0011999998)
ZOS_NV_PNT_JAME.18482,52690,,Brezno 1 pri Šmihelskih ponikvah,Brezno,geomorfp,državni,3,430199,76010,POINT (430199 76010)
ZOS_NV_PNT_JAME.18505,52713,,Brezno pri Fajfi 2,Brezno,geomorfp,državni,3,474186,57126,POINT (474186 57126)
ZOS_NV_PNT_JAME.18530,52738,,Jaklovka 3,Brezno,geomorfp,državni,3,444301,62704,POINT (444301 62704)
ZOS_NV_PNT_JAME.16485,50693,,Jama v Šikani,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,508277,44572,POINT (508277.2543 44572.2172999997)
ZOS_NV_PNT_JAME.17803,52011,,Srnski vrh 4,Poševno ali stopnjasto brezno,geomorfp,državni,3,499786,70593,POINT (499785.6316 70593.2557999995)
ZOS_NV_PNT_JAME.10100,44308,,Za jamo,Poševno ali stopnjasto brezno,geomorfp,državni,3,454788,60246,POINT (454788.2113 60245.9616)
ZOS_NV_PNT_JAME.10111,44319,,Brezno v oddelku 7/a GE Ravnik,Poševno ali stopnjasto brezno,geomorfp,državni,3,444495,83568,POINT (444495 83568)
ZOS_NV_PNT_JAME.10120,44328,,Skedenj,Vodoravna jama,geomorfp,državni,3,487151,73027,POINT (487151 73027)
ZOS_NV_PNT_JAME.11389,45597,,Krojačevka,Poševno ali stopnjasto brezno,geomorfp,državni,3,514672,64066,POINT (514672 64066)
ZOS_NV_PNT_JAME.11406,45614,,G-1 (Vrsno),"Poševno ali stopnjasto brezno, Brezno s snegom",geomorfp,državni,3,396673,127778,POINT (396673.4658 127778.2673)
ZOS_NV_PNT_JAME.11411,45619,,Vodni rov,Jama občasni izvir,geomorfp,državni,3,378708,122388,POINT (378708.0422 122388.331599999)
ZOS_NV_PNT_JAME.11418,45626,,Jama na Velikim Medvejščem,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,393848,82047,POINT (393847.5525 82047.2374000009)
ZOS_NV_PNT_JAME.11434,45642,,Vidalova jama,Poševno ali stopnjasto brezno,geomorfp,državni,3,427075,44043,POINT (427075 44043)
ZOS_NV_PNT_JAME.11445,45653,,Č-1 (Črnotiče),"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,414797,46636,POINT (414797.4773 46636.4383000005)
ZOS_NV_PNT_JAME.11458,45666,,Velika Cinkova prepadna,Poševno ali stopnjasto brezno,geomorfp,državni,3,498328,62227,POINT (498328 62227)
ZOS_NV_PNT_JAME.12736,46944,,Smetišče pri Vojščici,Brezno,geomorfp,državni,3,396107,77747,POINT (396107.4812 77747.1995999999)
ZOS_NV_PNT_JAME.12746,46954,,Zlata jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,487359,85274,POINT (487359 85274)
ZOS_NV_PNT_JAME.12758,46966,,Mt 3-Bršljanka 2,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,420688,48596,POINT (420687.5738 48596.3555999994)
ZOS_NV_PNT_JAME.12775,46983,,Ob 14,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,428378,43546,POINT (428377.6134 43546.2457999997)
ZOS_NV_PNT_JAME.12783,46991,,VT-2,"Poševno ali stopnjasto brezno, Brezno s snegom",geomorfp,državni,3,475229,136430,POINT (475229 136430)
